ERR2537816.36;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.37;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.85),s:Moricandia moricandioides_308297(0.29)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.38;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.81),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.39;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.92),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.40;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.30)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.41;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.42;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.88),s:Moricandia moricandioides_308297(0.31)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.43;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.31)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.44;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia moricandioides_308297(0.26)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.45;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.90),s:Moricandia suffruticosa_308298(0.44)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
